sender,message,language
user,Who are you?,en-US
bot,"Hello! I am Katzbot, the official chatbot of Yeshiva University. I am here to assist you by providing accurate and helpful information about Yeshiva University, its academic programs, campus life, events, news, policies, and support services. How can I help you today? If you have any questions related to Yeshiva University, feel free to ask!

For more information about Yeshiva University, you can visit our official website: [www.yu.edu](http://www.yu.edu).

**Additional Information from the Web:** Yeshiva University (YU), established over a century ago, is a leading institution known for producing prominent figures in business, medicine, education, and law. The university is committed to academic excellence and aims to empower students to become future leaders. YU provides world-class, value-based education that prepares students for fulfilling careers and purpose-driven lives. By supporting YU, you contribute to its mission and help students thrive in their chosen fields.**Sources:** [Yeshiva University](https://www.youtube.com/yeshivauniversity)
[Yeshiva University: Amazing Futures Start Here](https://go.yu.edu/apply-undergraduate)
[Rise Up - Yeshiva University: Landing Page](https://riseup.yu.edu/landing-page)",en
user,Who are you?,en-US
bot,"Hello, I'm Katzbot, the official chatbot of Yeshiva University. I'm here to help you by providing accurate and helpful information about the university, including topics like admissions, academic programs, campus life, events, news, policies, and support services. How can I assist you today? If you have any questions related to Yeshiva University, feel free to ask!

**Additional Information from the Web:** Yeshiva University, established for over a century, has produced numerous notable business leaders, philanthropists, medical professionals, educators, and lawyers. The university has four campuses: Wilf Campus (500 West 185th Street), Israel Henry Beren Campus (245 Lexington Avenue), and Brookdale Center (55 Fifth Avenue). Students engage in a rigorous dual-track education, combining liberal arts and sciences, pre-professional studies, and Torah and Jewish studies.**Sources:** [Yeshiva University](https://www.youtube.com/yeshivauniversity)
[About](https://www.yu.edu/about)
[Yeshiva University Undergraduate Education](https://www.yu.edu/academics/undergraduate-studies)",en
user,Who is Albert Einstein?,en-US
bot,"Albert Einstein was a renowned physicist and theoretical scientist, best known for developing the theory of relativity, one of the two pillars of modern physics (the other being quantum mechanics). His work is also known for its influence on the philosophy of science. He is best known to the general public for his mass-energy equivalence formula E = mc^2, which has been dubbed ""the world's most famous equation"". He received the 1921 Nobel Prize in Physics ""for his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"", a pivotal step in the development of quantum theory.

While there is an Albert Einstein College of Medicine at Yeshiva University, it is not directly related to the physicist Albert Einstein. The college is named in his honor due to his significant contributions to science and humanity. For more information about the Albert Einstein College of Medicine at Yeshiva University, you can visit their website at [this link](https://www.einstein.yu.edu/).

**Additional Information from the Web:** The Albert Einstein College of Medicine, located in New York City, is a highly respected institution known for research, medical education, and clinical investigation. Established in 1953, it is the only college that carries Einstein's name and operates independently as a private medical school, granting degrees in medical education.**Sources:** [Albert Einstein College of Medicine](https://www.youtube.com/@EinsteinCollegeofMed)
[Albert Einstein College of Medicine](https://zh.wikipedia.org/zh-tw/W%3Aen%3AAlbert_Einstein_College_of_Medicine)
[Yeshiva University's Albert Einstein College of Medicine](https://library.yu.edu/c.php?g=1073982&p=7871665)",en
user,Who is Youshan Zhang?,en-US
bot,"Dr. Youshan Zhang is an assistant professor at Yeshiva University with research interests in artificial intelligence, machine learning, computer vision, transfer learning, manifold learning, and shape analysis. He completed his postdoc at Cornell University and is currently seeking highly self-motivated Ph.D. students with a Math/CS background. You can reach him at youshan.zhang@yu.edu. For more information about Dr. Zhang, you can visit his faculty page on Yeshiva University's website.

**Additional Information from the Web:** Youshan Zhang is an Assistant Professor of Artificial Intelligence and Computer Science at Yeshiva University in New York City, specializing in machine learning, computer vision, and transfer learning. He has a professional background from Cornell and is known for his research interests in artificial intelligence. You can follow his work through his ResearchGate, Github, Google Scholar, and ORCID profiles.**Sources:** [Internship Experiences](https://youshanzhang.github.io/cv/)
[Youshan Zhang](https://www.yu.edu/faculty/pages/zhang-youshan)
[Youshan Zhang | IEEE Xplore Author Details](https://ieeexplore.ieee.org/author/37089711467)",en
user,Hi,en-US
bot,"Hello! Welcome to Katzbot, the official chatbot for Yeshiva University. I'm here to help you with any questions you have about Yeshiva University. We can discuss topics such as admissions, academic programs, campus life, events, news, policies, and support services. If you need more specific information, feel free to ask! You can also reach out to us at katzstudentservices@yu.edu or call us at 646-592-4729. We look forward to hearing from you!

For more information about Yeshiva University, you can visit our website at yu.edu. You can also stay updated with the latest news and events by following us on LinkedIn, Facebook, Instagram, Twitter, or checking out our Katz Blog.

**Additional Information from the Web:** YULA Boys Division, located at 9760 W. Pico Blvd, Los Angeles, CA 90035, is a renowned Yeshiva High School for boys with a 100-year history. The school is dedicated to fostering excellence in both Torah and secular studies, creating a unique environment for its students. Key areas of the school's website include its mission, faculty, university preparations, tuition and financial aid, admissions, open house, Discover Central, and the application process. The academic life at YULA Boys Division focuses on a balanced education in religious and secular subjects.**Sources:** [YULA High School – Los Angeles Yeshiva High School](https://yula.org/)
[Yeshiva University High School for Boys – MTA – yuhsb.org](https://yuhsb.org/)
[Yeshiva University High School for Girls – Central – yuhsg.org](https://yuhsg.org/)",en
user,Who are you?,en-US
bot,"Hello, I am Katzbot, the official chatbot for Yeshiva University. I am here to assist you by providing accurate and helpful information about Yeshiva University, its academic programs, campus life, events, news, policies, and support services. How can I help you today? If you have any questions about Tanach, Gemara, or any other Yeshiva University-related topics, feel free to ask!

**Additional Information from the Web:** Yeshiva University (YU), a leading Jewish university founded over a century ago, is renowned for producing prominent figures in business, medicine, education, and law. The university is committed to academic excellence and aims to empower students to become future leaders. Donating to YU supports world-class, value-based education that prepares students for significant careers and purpose-driven lives.**Sources:** [Yeshiva University](https://www.youtube.com/yeshivauniversity)
[Yeshiva University: Amazing Futures Start Here](https://go.yu.edu/apply-undergraduate)
[Rise Up - Yeshiva University: Landing Page](https://riseup.yu.edu/landing-page)",en
user,Hello,en-US
bot,"Hello! Welcome to Yeshiva University's official chatbot, Katzbot. I'm here to help you with any questions you have about Yeshiva University. We offer a wide range of academic programs, vibrant campus life, and supportive services. If you need assistance with admissions, events, news, policies, or other university-related topics, feel free to ask! You can also visit our news site at yu.edu/news for the latest updates. How can I assist you today?

**Additional Information from the Web:** On November 8, 2021, Hello Sport announced the sale of Big Day Rosé and merchandise through their online cart. Contact information was provided as 02 8123 2100.

On December 25, 2017, Raffi Wiesen, a psychology major with a minor in business, shared his story of attending Yeshiva University through the #MyYUstory campaign.

As of January 24, 2023, a message from Yeshiva University's Cardozo School of Law wishes a happy new year and mentions that their office is temporarily located at home.**Sources:** [A Miracle from God: Jewish Yeshiva University are Currently on the ...](https://www.hellosport.com.au/2021/11/08/a-miracle-from-god-jewish-yeshiva-university-are-currently-on-the-longest-winning-streak-in-male-college-basketball/)
[""Which Office Essentials are Actually Essential? I Relocated to the ...](https://larc.cardozo.yu.edu/staff-online-pubs/12/)
[My YU Story - Raffi Wiesen | Yeshiva University](https://www.yu.edu/my-yu-story/raffi-wiesen)",en
user,Tell me about MS in AI program at Yeshiva University,en-US
bot,"The MS in Artificial Intelligence at Yeshiva University is a 36-credit program that provides students with a grounding in AI theory, research, technologies, and ethical standards. The program covers artificial intelligence and machine learning models, including supervised and unsupervised learning, deep learning, neural networks, and reinforcement learning. Students will design and build cutting-edge AI technologies for applications in various industries, such as finance, biotech, cybersecurity, adtech, and healthcare.

The program is administered by the Yeshiva University Katz School of Science and Health and is STEM OPT eligible. The full-time program starts in January 2024 and is 36 credit hours with a tuition fee of USD 25,000 for the entire course.

International students need a bachelor's degree with a strong mathematical and programming background, along with specific coursework in at least two university courses using a high-level programming language such as Java, C, and Python, Multivariate Calculus, Linear Algebra, and Mathematical Probability and Statistics. These prerequisites must be completed in the last three years with a grade of Bplus or better. Equivalent professional experience is acceptable.

As part of the coursework, students will complete an industry-oriented final project and are encouraged to gain hands-on experience by working in real companies through internships and independent study. The program emphasizes applied sciences and mathematics, technology, data, and design, health sciences, and emerging professions transformed by technology innovations.

The Katz School offers other graduate degrees, including Biotechnology Management and Entrepreneurship, Data Analytics and Visualization, Digital Marketing and Media, Mathematics, Occupational Therapy, Physics, Quantitative Economics, Quantitative Finance, and Speech-Language Pathology.

**Additional Information from the Web:** The Katz School of Science and Health at Yeshiva University offers a Master of Science (MS) in Artificial Intelligence, which is interdisciplinary and includes a data analytics program. Michael Schulte is an instructor for both programs and specializes in health data science. The core requirements for the AI MS (24 credits) include: Data Acquisition and Management, Computational Statistics and Probability, Numerical Methods, Predictive Models, and Machine Learning.**Sources:** [Yeshiva University Katz School of Science and Health | NYU ...](https://engineering.nyu.edu/academics/programs/nyu-tandon-bridge/partner-institutions/yeshiva-university-katz)
[Faculty | Yeshiva University](https://www.yu.edu/katz/faculty)
[M.S. in Artificial Intelligence Curriculum | Yeshiva University](https://www.yu.edu/katz/ai/curriculum)",en
user,Tell me about Prof. Youshan Zhang,en-US
bot,"Prof. Youshan Zhang is currently an assistant professor of artificial intelligence and computer science at Yeshiva University. Dr. Zhang's research interests include artificial intelligence, machine learning, computer vision, transfer learning, manifold learning, and shape analysis. He received his Ph.D. in Computer Science from Lehigh University and was a postdoc at Cornell University. Prof. Zhang is excited about interdisciplinary research and collaborating with researchers from related fields. He is looking for highly self-motivated Ph.D. students with a Math/CS background. You can reach him at youshan.zhang@yu.edu.

In addition to Prof. Zhang's work at Yeshiva University, you may be interested to know that the university is home to various academic programs, events, and support services in the fields of artificial intelligence and computer science. For example, the Katz School of Science and Health offers a Master of Science in Computer Science with a specialization in Artificial Intelligence and Machine Learning. You can find more information about Yeshiva University's academic programs, events, and support services on the university's website.

**Additional Information from the Web:** Youshan Zhang is an Assistant Professor at Yeshiva University in New York City, with a PhD in Artificial Intelligence. He is based in NYC, New York, and is active on ResearchGate, Github, Google Scholar, and ORCID. Youshan Zhang is currently looking for opportunities ahead of his contract end date of May 30, 2024. He has a professional association with Cornell University and is currently working with a colleague named Sahil Kumar at Yeshiva University.**Sources:** [Youshan Zhang](https://youshanzhang.github.io/cv/)
[Youshan ZHANG | Assistant Professor | Doctor of Philosophy ...](https://www.researchgate.net/profile/Youshan-Zhang-2)
[(PDF) KatzBot: Revolutionizing Academic Chatbot for Enhanced ...](https://www.researchgate.net/publication/381002218_KatzBot_Revolutionizing_Academic_Chatbot_for_Enhanced_Communication)",en
user,Tell me about Prof. James Topor,en-US
bot,"Prof. James Topor is a highly experienced management consultant and data scientist, currently serving as the Managing Director of Mirus Global Advisory Services. His areas of expertise include data analytics, predictive modeling, machine learning, and machine vision. Prof. Topor utilizes an integrative approach that combines data and applied mathematics with technology to solve complex business problems. He has worked with major clients across various industries, such as financial services, pharmaceuticals, telecommunications, and manufacturing, on a global scale. Prof. Topor holds multiple advanced degrees, including an M.S. in Data Analytics from the City University of New York, an MBA in International Business from George Washington University, an M.S. in Computer Science from Virginia Tech, and a B.S. in Computer Science from Eastern Connecticut State University. For the most up-to-date information on Prof. James Topor, you can visit the Yeshiva University news site (yu.edu/news).

**Additional Information from the Web:** On November 2, 2023, Yeshiva University's Katz School and Vice Provost Dr. Paul Russo announced the collaboration of Professor James Topor, an expert in data analytics, predictive modeling, and machine learning, with the AI, DAV, and CS departments. This collaboration also includes individuals such as Dave Sweet. For more information, please contact publicaffairs@yu.edu. This announcement was made on November 5, 2021.**Sources:** [Students Use AI to Forecast Climate Change's Local Impact for S&P ...](https://www.yu.edu/katz-school/2023/11/02/students-use-ai-to-forecast-climates-local-impact-for-sp-global)
[Faculty | Yeshiva University](https://www.yu.edu/katz/faculty)
[Dr. Pablo Roldan Named AI Director](https://www.yu.edu/news/dr-pablo-roldan-named-ai-director)",en
user,Who is Youshan Zhang?,en-US
bot,"Youshan Zhang is an assistant professor at Yeshiva University with research interests in artificial intelligence, machine learning, computer vision, and related areas. Dr. Zhang received his postdoctoral training at Cornell University and is particularly enthusiastic about interdisciplinary research collaborations. He is currently seeking highly self-motivated Ph.D. students with a Math/CS background. You can reach him via email at youshan.zhang@yu.edu.

For more information about Dr. Zhang and his work, you can visit the Yeshiva University faculty directory or the university's news site for any recent updates on his research and activities.

**Additional Information from the Web:** Youshan Zhang is an assistant professor of artificial intelligence and computer science at Yeshiva University, specializing in machine learning. He holds a Doctor of Philosophy degree. Zhang is currently seeking self-motivated Ph.D. students and will be available to supervise them until January 17, 2024. Those interested in accessing his data and code should contact him directly at his email address, which is not provided in the given information. Zhang is based at Yeshiva University, New York, NY, 10033, USA.**Sources:** [Youshan Zhang | Yeshiva University](https://www.yu.edu/faculty/pages/zhang-youshan)
[Youshan ZHANG | Assistant Professor | Doctor of Philosophy ...](https://www.researchgate.net/profile/Youshan-Zhang-2)
[Regressive vision transformer for dog cardiomegaly assessment ...](https://www.nature.com/articles/s41598-023-50063-x)",en
user,Who is Prof. Youshan Zhang?,en-US
bot,"Prof. Youshan Zhang is an assistant professor of artificial intelligence and computer science at Yeshiva University. Dr. Zhang's research interests include artificial intelligence, machine learning, computer vision, transfer learning, manifold learning, and shape analysis. He received his Ph.D. in Computer Science from Lehigh University and was a Postdoc at Cornell University. Prof. Zhang is currently looking for highly self-motivated Ph.D. students with a Math-CS background and is excited about interdisciplinary research collaborations. You can reach him at youshan.zhang@yu.edu. For more information about Prof. Zhang, you can visit the Yeshiva University faculty directory or the university's news site for updates on his work and achievements.

**Additional Information from the Web:** Youshan Zhang is an assistant professor of artificial intelligence and computer science at Yeshiva University, with a focus on machine learning, computer vision, and transfer learning. He has a PhD and is currently seeking self-motivated PhD students. He has given keynote speeches along with Dr. Marian Gidea. Notable speakers at past events include Dr. Ping Ji and Dr. Nirwan Ran Drori, who is an associate professor and chair of Yeshiva University.**Sources:** [Youshan Zhang | Yeshiva University](https://www.yu.edu/faculty/pages/zhang-youshan)
[Youshan ZHANG | Assistant Professor | Doctor of Philosophy ...](https://www.researchgate.net/profile/Youshan-Zhang-2)
[Katz School of Science and Health | New York NY](https://www.facebook.com/YUKatzSchool/)",en
user,Hello,en-US
bot,"Hello! Welcome to Yeshiva University's official chatbot, Katzbot. I'm here to help you with any questions you have about Yeshiva University. We have a wide range of academic programs, campus life activities, and support services. Is there anything specific you would like to know about Yeshiva University?

**Additional Information from the Web:** On November 8, 2021, Hello Sport announced the sale of Big Day Rosé and merchandise through their online cart. On December 25, 2017, Raffi Wiesen, a psychology major with a minor in business, shared his story as a Yeshiva University student through the #MyYUstory campaign. As of January 24, 2023, Yeshiva University's Cardozo School of Law updates its homepage with a message from their office. Currently, there is no specific information about sports or miracles mentioned.**Sources:** [A Miracle from God: Jewish Yeshiva University are Currently on the ...](https://www.hellosport.com.au/2021/11/08/a-miracle-from-god-jewish-yeshiva-university-are-currently-on-the-longest-winning-streak-in-male-college-basketball/)
[""Which Office Essentials are Actually Essential? I Relocated to the ...](https://larc.cardozo.yu.edu/staff-online-pubs/12/)
[My YU Story - Raffi Wiesen | Yeshiva University](https://www.yu.edu/my-yu-story/raffi-wiesen)",en
user,Who is Prof. Youshan Zhang?,en-US
bot,"Prof. Youshan Zhang is an assistant professor of artificial intelligence and computer science at Yeshiva University. Dr. Zhang's research interests include artificial intelligence, machine learning, computer vision, transfer learning, manifold learning, and shape analysis. He received his Ph.D. in Computer Science from Lehigh University and was a Postdoc at Cornell University. Currently, he is interested in interdisciplinary research and is looking for highly self-motivated Ph.D. students with a Math-CS background. You can reach Prof. Zhang at youshan.zhang@yu.edu. For more information about Prof. Zhang, you can visit the Yeshiva University faculty directory.

(Note: I couldn't find an official webpage for Prof. Zhang, but the information provided is based on the context given and general faculty information available on the Yeshiva University website.)

**Additional Information from the Web:** The given text describes the use of a new technology called ""Neural Voice Cloning"" by a company named Resemble AI. This technology can create a digital version of a person's voice by analyzing as little as 5 minutes of audio sample. The resulting synthetic voice can then be used to generate speech that sounds like the original person. The technology has various applications such as creating personalized voice assistants, voiceovers for animated characters, and even simulating the voice of a deceased person. However, the text also raises ethical concerns regarding consent, privacy, and potential misuse of this technology.**Sources:** ",en
user,Hello!!!,en-US
bot,"Hello! I'm Katzbot, the official chatbot for Yeshiva University. I'm here to help you by providing accurate and helpful information about Yeshiva University. Our SGC Team is dedicated to supporting you from your first year to your last, and beyond. They focus on building strategies to uncover your passions, explore your options, make connections, and create post-graduation plans. If you have any questions about admissions, academic programs, campus life, events, news, policies, or support services, feel free to ask! You can also check out the latest news from Yeshiva University here: yu.edu/news. How can I assist you today?

**Additional Information from the Web:** Senator Chuck Schumer will deliver a special message to Yeshiva University's Class of 2022. Yeshiva University is known for its enthusiastic students and faculty, and its commitment to academic excellence and Torah studies. The university has multiple campuses in New York City, with its primary campus, the Wilf Campus, located in Washington Heights.**Sources:** [Senator Chuck Schumer has a special message for the ...](https://www.facebook.com/YeshivaUniversity/videos/senator-chuck-schumer-has-a-special-message-for-the-yeshiva-university-graduatin/1327412164416022/)
[Hillel Yeshiva: Home](https://www.hillelyeshiva.org/)
[Location of Yeshiva University?](https://www.collegevine.com/faq/48790/location-of-yeshiva-university)",en
user,Who is Prof. Youshan Zhang?,en-US
bot,"Prof. Youshan Zhang is an assistant professor of artificial intelligence and computer science at Yeshiva University. Dr. Zhang's research interests include artificial intelligence, machine learning, computer vision, transfer learning, manifold learning, and shape analysis. They received their Ph.D. in Computer Science from Lehigh University and were a Postdoc at Cornell University. Dr. Zhang is excited about interdisciplinary research and is currently looking for highly self-motivated Ph.D. students with a Math-CS background. You can reach Prof. Zhang at youshan.zhang@yu.edu for inquiries.

For more information about Prof. Zhang and their work, you can visit the Yeshiva University faculty page or check out the latest news on the Yeshiva University news site.

In addition, here is a list of some of Prof. Zhang's colleagues at Yeshiva University who may also be of interest:

1. Zhengnan (Cedric) Li: A graduate assistant with a strong background in hardware engineering from Huawei, specializing in PCB architecture design and development, and currently enhancing data analysis and visualization skills at Yeshiva University.
2. Wei (Richard) Lo: A graduate assistant.
3. Borong Zhang: An adjunct instructor with expertise in the field.

You can learn more about Borong Zhang by visiting their bio page.

**Additional Information from the Web:** Youshan Zhang is an assistant professor of AI and computer science at Yeshiva University in NYC, NY. They have professional experience from Cornell and are affiliated with ResearchGate, Github, Google Scholar, and ORCID. Mark Edelman is a clinical full professor at Stern College for Women, and Youshan Zhang is one of Thota's advisers in the Katz School.**Sources:** [Internship Experiences](https://youshanzhang.github.io/cv/)
[Faculty](https://www.yu.edu/katz/faculty)
[Meet the AI Chatbot That's as Smart as Your Favorite Prof](https://www.yu.edu/news/katz/meet-ai-chatbot-thats-smart-your-favorite-prof)",en
user,Who is Prof. Gidea Marian?,en-US
bot,"Prof. Gidea Marian is a Professor of Physics, the Associate Dean for STEM Education and Research, and the Director of the Graduate Program in Mathematical Sciences at Yeshiva University. He has made significant contributions to various fields, including dynamical systems, celestial mechanics, mathematical physics, mathematical biology, financial mathematics, and topological data analysis. You can learn more about Prof. Gidea and his expertise in dynamical systems, financial mathematics, and topological data analysis on the Yeshiva University website. If you would like to contact him, you can reach him via email at marian.gidea@yu.edu or by phone at 646-592-4031. His office is located at the Beren campus, 215 Lexington Ave, Room 618.

**Additional Information from the Web:** Dr. Marian Gidea is a full professor at Yeshiva University in New York City with 1753 citations and 79 publications. He joined YU in 2013 and serves as the chair of the Math Department at Stern College. Gidea's research is featured at the Katz School and has contributed significantly to STEM and NASA initiatives.**Sources:** [Marian Gidea Yeshiva University | YU](https://www.researchgate.net/profile/Marian-Gidea-2)
[Advancing Understanding of Dynamical Systems for ...](https://www.facebook.com/YUKatzSchool/videos/advancing-understanding-of-dynamical-systems-for-sustainable-energy-and-space-sc/1049526746347743/)
[Chair of SCW Math Department, Dr. Marian Gidea ...](https://yuobserver.org/2017/12/chair-scw-math-department-dr-marian-gidea-awarded-100000-nasa-grant/)",en
user,Who is Prof. Gidea Marian?,en-US
bot,"Prof. Gidea Marian is a distinguished faculty member at Yeshiva University, holding the positions of Professor of Physics, Associate Dean for STEM Education and Research, and Director of the Graduate Program in Mathematical Sciences. His areas of expertise include dynamical systems, celestial mechanics, mathematical physics, mathematical biology, financial mathematics, and topological data analysis. Throughout his career, Prof. Gidea has received several recognitions for his contributions to research, teaching, and the advancement of mathematical sciences, such as the Dean Karen Bacon Faculty Award and the Bernard J. Brommel Distinguished Research Award. You can contact him via email at marian.gidea@yu.edu, or reach him by phone at 6465924031. His office is located at the Beren campus, 215 Lexington Ave, Room618. For more information about Prof. Gidea, you can visit his bio on the Yeshiva University website.

**Additional Information from the Web:** Dr. Marian Gidea is a full professor at Yeshiva University in New York City, with 1753 citations and 79 published readings. He joined YU in 2013 and serves as the chair of the Math Department at Stern College. Gidea's research in STEM has been beneficial to Yeshiva University, and he is associated with the Katz School, NASA, and STEM Research.**Sources:** [Marian Gidea Yeshiva University | YU](https://www.researchgate.net/profile/Marian-Gidea-2)
[Advancing Understanding of Dynamical Systems for ...](https://www.facebook.com/YUKatzSchool/videos/advancing-understanding-of-dynamical-systems-for-sustainable-energy-and-space-sc/1049526746347743/)
[Chair of SCW Math Department, Dr. Marian Gidea ...](https://yuobserver.org/2017/12/chair-scw-math-department-dr-marian-gidea-awarded-100000-nasa-grant/)",en
user,Who is Prof. Andy Catlin?,en-US
bot,"Prof. Andy Catlin is a distinguished technology expert with a successful career in Wall Street. He has developed key capabilities in constructing intuitive client-server interfaces, expanding accessibility during the 1990s modernization waves, cloud migration, cyber risk oversight, and production environment resilience. Prof. Catlin focuses on pragmatic automation that enhances end-user functionality without compromising security. In his teaching role at Yeshiva University, he imparts his real-world project experiences and guides students through programming languages like Python and Java, reinforcing financial modeling competencies. This holistic approach enables students to become proficient problem solvers in the ever-evolving digital landscape.

**Additional Information from the Web:** Andy Catlin is a Clinical Assistant Professor and Program Director of the M.S. in Data Analytics & Visualization at Yeshiva University, currently based in Stuart, FL, US. He holds a degree from The City University of New York. Andy Catlin is a data scientist with expertise in Financial Instrument Pricing and Forecasting, and has experience in data systems.**Sources:** [Andy Catlin Email & Phone Number | Yeshiva University ...](https://rocketreach.co/andy-catlin-email_2952515)
[Andy Catlin Email & Phone Number - Yeshiva University](https://www.zoominfo.com/p/Andy-Catlin/3118627824)
[Faculty](https://www.yu.edu/katz/faculty)",en
user,Who is Prof. Brandon Chiazza?,en-US
bot,"Prof. Brandon Chiazza is the Chief Technology Officer in the New York City Mayor’s Office of Contract Services. He leads a team of 50 independent consultants and directs employees in three units within the technology strategy division, including Enterprise Data Services, Project Management Office, and Design and Quality Assurance. Prof. Chiazza holds an MPA in environmental and energy economics, and environmental finance, as well as a B.S. in communication, applied economics and management from Cornell University. He teaches the course Information Architecture at Yeshiva University and can be reached at brandon.chiazza@yu.edu. For media inquiries, please contact Media Relations at 212-960-5400 x5488 or publicaffairs@yu.edu. You can find more information about Prof. Chiazza on his bio page at Yeshiva University's website.

**Additional Information from the Web:** Brandon Chiazza is a business professor at Yeshiva University, where students can leave ratings or read reviews. He holds three current positions: Co-Founder and Principal at Modali Consulting, Lecturer at Cornell University, and Adjunct Faculty at Yeshiva University. His contact email for Cornell University is bpc46@cornell.edu, and he teaches students at undergraduate, master's, and doctoral levels, as well as faculty and staff. His information is also available through news and media.**Sources:** [Brandon Chiazza at Yeshiva University](https://www.ratemyprofessors.com/professor/2576014)
[Brandon Chiazza - Co-Founder and Principal @ Modali ...](https://www.crunchbase.com/person/brandon-chiazza)
[Brandon Chiazza - Brooks School of Public Policy](https://publicpolicy.cornell.edu/people/brandon-chiazza/)",en
user,Who is Prof. Brandon Chiazza?,en-US
bot,"Prof. Brandon Chiazza is the Chief Technology Officer in the New York City Mayor’s Office of Contract Services. He leads a team of 50 independent consultants and directs employees in three units within the technology strategy division, including Enterprise Data Services, Project Management Office, and Design and Quality Assurance. Prof. Chiazza holds an MPA in environmental and energy economics, and environmental finance, as well as a B.S. in communication, applied economics and management from Cornell University. He teaches the course Information Architecture at Yeshiva University and can be reached at brandon.chiazza@yu.edu. For media relations, please contact 212-960-5400 x5488 or publicaffairs@yu.edu. You can find more information about Prof. Chiazza on the Yeshiva University website.

**Additional Information from the Web:** Brandon Chiazza is a professor in the Business department at Yeshiva University and also holds three current jobs: Co-Founder and Principal at Modali Consulting, Lecturer at Cornell University, and Adjunct Faculty at Yeshiva University. His contact email for Cornell University is bpc46@cornell.edu, and he teaches students at undergraduate, masters, and doctoral levels. Ratings and reviews about him can be found or left on the Yeshiva University website.**Sources:** [Brandon Chiazza at Yeshiva University](https://www.ratemyprofessors.com/professor/2576014)
[Brandon Chiazza - Co-Founder and Principal @ Modali ...](https://www.crunchbase.com/person/brandon-chiazza)
[Brandon Chiazza - Brooks School of Public Policy](https://publicpolicy.cornell.edu/people/brandon-chiazza/)",en
user,Who is Prof. Youshan Zhang?,en-US
bot,"Prof. Youshan Zhang is an assistant professor of artificial intelligence and computer science at Yeshiva University. Dr. Zhang's research interests include artificial intelligence, machine learning, computer vision, transfer learning, manifold learning, and shape analysis. He received his Ph.D. in Computer Science from Lehigh University and was a Postdoc at Cornell University. Prof. Zhang is excited about interdisciplinary research and is currently looking for highly self-motivated Ph.D. students with a Math/CS background. You can reach him at youshan.zhang@yu.edu.

**Additional Information from the Web:** Youshan Zhang is an assistant professor of AI and computer science at Yeshiva University's Katz School of Science and Health in NYC. He has professional experience from Cornell University and is affiliated with Stern College for Women. You can follow his work through ResearchGate, Github, Google Scholar, and ORCID. Mark Edelman is a separate individual, also affiliated with Yeshiva University.**Sources:** [Internship Experiences](https://youshanzhang.github.io/cv/)
[Faculty](https://www.yu.edu/katz/faculty)
[With NSF Grant, Researcher to Use AI to Automate Heart ...](https://www.yu.edu/news/katz/nsf-grant-researcher-use-ai-automate-heart-disease-diagnosis-pets)",en
user,Who is Prof. Gidea Marian?,en-US
bot,"Prof. Marian Gidea is a prominent figure at Yeshiva University, holding the positions of Professor of Physics, Associate Dean for STEM Education and Research, and Director of the Graduate Program in Mathematical Sciences. His areas of expertise include dynamical systems, celestial mechanics, mathematical physics, mathematical biology, financial mathematics, and topological data analysis. Throughout his career, Prof. Gidea has achieved several recognitions, such as the Dean Karen Bacon Faculty Award and the Bernard J. Brommel Distinguished Research Award, in recognition of his significant contributions to research, teaching, and the advancement of mathematical sciences. You can contact Prof. Gidea via email at marian.gidea@yu.edu or by phone at 646-592-4031. His office is located at the Beren campus, 215 Lexington Ave, Room 618. More information about Prof. Gidea can be found on the Yeshiva University website: [Marian Gidea's Bio](https://www.yu.edu/faculty/marian-gidea).

**Additional Information from the Web:** Dr. Marian Gidea, a full professor at Yeshiva University (YU) in New York City, has 1753 citations and has published 79 papers. He has been advancing research in the STEM field, including receiving over $900,000 in research funding since joining YU in 2013. He is associated with the Katz School and NASA.**Sources:** [Marian Gidea Yeshiva University | YU](https://www.researchgate.net/profile/Marian-Gidea-2)
[Advancing Understanding of Dynamical Systems for ...](https://www.facebook.com/YUKatzSchool/videos/advancing-understanding-of-dynamical-systems-for-sustainable-energy-and-space-sc/1049526746347743/)
[Faculty With Impact](https://go.yu.edu/faculty-with-impact)",en
user,Who is Prof. Brandon Chiazza?,en-US
